Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Garage Sale Mysteries,"Set in a geriatric extended care wing of a down-at-the-heels hospital, Getting On follows put-upon nurses, anxious doctors and administrators as they struggle with the darkly comic, ...                ",nan,"Crime, Mystery","Lori Loughlin, Sarah Strange, Steve Bacic, ""Kevin OGrady""",7.2,148,2013–2020
Getting On,"Two comedians, average nobodies, and celebrity guest stars perform bizarre low-budget comedy sketches.",nan,Comedy,"Laurie Metcalf, Alex Borstein, Niecy Nash, Mel Rodriguez",7.8,3218,2013–2015
"Tim and Eric Awesome Show, Great Job!","The story revolves around a girl named Azra who is studying abroad in America to be a professional cook like her father. She met Cenk, the grandson of Ferida Celen, on the plane and took ...                ",nan,"Comedy, Music","Tim Heidecker, Eric Wareheim, Bob Odenkirk, John C. Reilly",7.5,10813,2007–2017
Elimi birakma,"After fifteen years of marriage, the lives of Greg and Em Butler and their two daughters change when Em returns to work, Greg is made redundant and his brother Brad moves in.",nan,Drama,"Alina Boz, Alp Navruz, Dolunay Soysert, Ebru Aykaç",6.5,1098,2018–2019
How to Stay Married,A groups of women in modern America going through life and the intense challenges that are part of every relationship. Despite being from different backgrounds,nan,Comedy,"Peter Helliar, Lisa McCune, Willow Ryan-Fuller, Vivien Turner",4.9,157,2018– 
Sex Chronicles,,nan,"Drama, Romance","Patrice Fisher, Johanna Quintero, Laila Odom, Maya Dunbar",5.9,409,2008– 
Lab Rats: Elite Force,"When Mighty Med hospital is destroyed, bionic heroes Bree and Chase join superheroes Kaz, Oliver, and Skylar to form an Elite Force and take down those responsible for the attack.",30,"Adventure, Comedy, Drama","William Brent, Bradley Steven Perry, Jake Short, Paris Berelc",6.5,1112,2016–2019
Coisa Mais Linda,"After the disappearance of her husband, Maria Luiza opens a Bossa Nova club in defiance of her normally conservative demeanor.",45,"Drama, Romance","Maria Casadevall, Pathy Dejesus, Mel Lisboa, Leandro Lima",7.9,3001,2019– 
I Am a Killer,"Follows Death Row inmates, who tell the story of how they ended up there.",52,"Documentary, Crime","Swaylee Loughnane, Reece Putinas, David Galea, Deandra Buchanan",7.4,3429,2018–2020
Love O2O,A story of two popular college students who fell in love through an online game.,45,"Drama, Romance","Yang Yang, Shuang Zheng, Denny Huang, Junfeng Niu",8.0,1852,2016– 
Be Careful with My Heart,"A simple girl, Maya De La Rosa, her older sister, Cristina Rose, and Cristina's son are introduced as tour guides for their hometown, San Nicolas, with their mother running a souvenir shop....                ",120,"Comedy, Romance","Jodi Sta. Maria, Richard Yap, Aiza Seguerra, Mutya Orquia",8.1,229,2012–2014
Istanbullu Gelin,"Süreyya, a young and beautiful singer, involves to the life of rooted Boran family of Bursa as a wife of the oldest son Faruk and all the family's secrets begins to uncover.",30,"Comedy, Drama, Romance","Özcan Deniz, Asli Enver, Ipek Bilgin, Salih Bademci",6.6,1803,2017–2019
Bondi Rescue,"Harry loses his cool with 3 swimmers that he's forced to rescue just seconds after warning them not to swim in a dangerous area. However, calling them ""imbeciles"" and ""idiots"" puts him in hot water.",30,"Documentary, Drama, Reality-TV","Osher Günsberg, Dean Gladstone, Bruce Hopkins, ""Trent Maxi Maxwell""",7.6,928,2006– 
Ugly Americans,"Take New York City, add every horrifying beast, science-fiction freak, and fantasy faerie, shake thoroughly, and you've got Ugly Americans.",58,"Animation, Comedy, Fantasy","Matt Oberg, Natasha Leggero, Kurt Metzger, Randy Pearlstein",8.0,9536,2010–2012
Merlí,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems among the students of the class.",28,"Comedy, Drama, Romance","Francesc Orella, Pere Ponce, Carlos Cuevas, Marta Marco",8.6,7434,2015–2018
M.I.High,"Four school children work for MI9, and fight against a criminal agency called skul.",24,"Action, Comedy, Crime","Chris Stanton, Jonny Freeman, Rachel Petladwala, Channelle Owen",6.2,1033,2007–2014
Shinya shokudô,"Shinya Shokudo is a tv series from Japan since 2009. It tells many stories about ordinary people eat in shinya shokudo, which means a restaurant at midnight. This small restaurant opens from 12 in the evening to 7 in the morning.",41,Drama,"Kaoru Kobayashi, Mansaku Fuwa, Toshiki Ayata, Shôhei Uno",8.6,1606,2009–2014
Frontera Verde,"When a young Bogotá-based detective gets drawn into the jungle to investigate four femicides, she uncovers magic, an evil plot and her own true origins.",30,"Crime, Drama, Thriller","Nelson Camayo, Angela Cano, Juana del Rio, Miguel Dionisio Ramos",7.3,2206,2019– 
Lip Sync Battle,"Varieties of celebrities pair up to do battle each week using lip sync as their weapon to out do each other. The audience is the judge, deciding which candidate does the best lip sync performance.",20,Music,"C.J. Tyson, LL Cool J, Chrissy Teigen, Amanda Cleghorn",7.3,3466,2015– 
Quantum Break,"Bridging gaming and live-action, the thriller looks into aspect the villains of the game and the dramatic backstory as it unfolds.",15,"Action, Crime, Drama","Shawn Ashmore, Aidan Gillen, Patrick Heusinger, Marshall Allman",7.9,1603,2016
Jake and the Never Land Pirates,An animated TV show that follows a band of young pirates who spend their days competing against Captain Hook and Mr. Smee for treasure.,47,"Animation, Adventure, Family","David Arquette, Corey Burton, Jeff Bennett, Loren Hoskins",5.6,1418,2011–2016
I Am...,A trilogy that explores the experiences of three women in personal and emotional moments.,21,Drama,"Gemma Chan, Vicky McClure, Samantha Morton, Ed Coleman",7.0,256,2019– 
Power Rangers Dino Charge,"On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to ...                ",30,"Action, Adventure, Family","Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber",6.5,1160,2015–2016
Bakuten shoot beyblade,"Four beybladers and their genius friend travel the world as team 'Bladebreakers' to win a championship, realizing there's much more at stake on the go.",22,"Animation, Action, Family","Marlowe Gardiner-Heslin, Alex Hood, Gage Knox, Daniel DeSanto",6.9,5485,2001–2005
Gantz,A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.,60,"Animation, Action, Comedy","Chris Ayres, Emily Carter-Essex, Shannon Emerick, John Gremillion",7.2,7178,2004
Tremors,Small town notices weird deaths in the desert. There are giant worms under the sand. They can hear the location of people through the vibration of their movement. Finally they blow them up with dynamite.,24,"Action, Adventure, Comedy","Victor Browne, Gladise Jiminez, Marcia Strassman, Lela Lee",6.6,2627,2003
Invader ZIM,"An alien named Zim from the planet Irk is sent on a secret mission to conquer Earth, not realising that his leaders were just trying to get rid of him and hoped that he would die. Once there, Zim manages to disguise himself as a human child, but one boy named Dib sees through his disguise.",30,"Animation, Action, Adventure","Andy Berman, Richard Steven Horvitz, Rikki Simons, Melissa Fahn",8.3,19741,2001–2006
Crank Yankers,A show with real 'crank' phone calls to real victims. Puppets are added as the 'actors' to give visual support to what is happening in the phone calls.,60,"Animation, Comedy","Victor Yerrid, Artie Esposito, Paul McGinnis, BJ Guyer",6.2,2857,2002–2021
Those Who Kill,"Follows Catherine Jensen, a recently promoted homicide detective who enlists the help of Thomas Schaeffer, a forensic psychologist, to track down serial killers and relentlessly seeks the ...                ",60,"Action, Crime, Drama","Chloë Sevigny, ""James DArcy"", James Morrison, Bruce Davison",7.2,3568,2014
Dead of Summer,"In 1989, school is out for the summer. When Camp Stillwater's dark, ancient mythology awakens, what was supposed to be a summer of fun soon turns into one of unforgettable scares and evil at every turn.",60,"Drama, Fantasy, Horror","Elizabeth Mitchell, Elizabeth Lail, Alberto Frezza, Mark Indelicato",6.2,4380,2016
Reef Break,"A crime drama featuring main character Cat Chambers, a thief-turned-fixer for the governor of a stunning and seductive Pacific Island paradise. Impulsive, reckless and irresistible, Cat's ...                ",22,"Crime, Drama","Poppy Montgomery, Ray Stevenson, Desmond Chiam, Melissa Bonne",6.0,1774,2019
Lilo & Stitch: The Series,The rambunctious human and alien duo must hunt down Dr. Jumba Jookiba's 625 other experimental creatures infesting Hawaii.,21,"Animation, Action, Adventure","Daveigh Chase, Chris Sanders, David Ogden Stiers, Kevin McDonald",6.8,8805,2003–2006
One Big Happy,A lesbian and her straight guyfriend decide to have a baby together.,45,Comedy,"Elisha Cuthbert, Nick Zano, Kelly Brook, Rebecca Corry",5.7,2808,2015
Party of Five,"Party of Five follows the five Acosta children -- Emilio, Lucia, Beto, Valentina and baby Rafael -- as they navigate daily life struggles to survive as a family unit after their parents are suddenly deported to Mexico.",30,"Drama, Family, Romance","Brandon Larracuente, Niko Guardado, Emily Tosta, Elle Paris Legaspi",5.4,1075,2020
Evermoor,"A young girl and her blended family move to the small cottage town of Evermoor. All is well until sinister things start to happen, magic tapestries, an enchanted typewriter. Only a few of the strange things found in the town of Evermoor.",30,"Adventure, Family, Fantasy","Alex Starke, Margaret Cabourn-Smith, Clive Rowe, Finney Cassidy",6.2,557,2014– 
People Magazine Investigates,PEOPLE MAGAZINE INVESTIGATES uncovers the heart-wrenching true stories behind crimes that transcended headlines and became part of popular culture. Exclusive firsthand interviews reveal ...                ,44,"Documentary, Crime","Steve Helling, David Christopher Wells, Michael Wayne Brown, Alicia Dennis",7.6,427,2016– 
Car Share,Assistant manager John Redmond and promotions rep Kayleigh Kitson are forced to commute together every day. But will they get along?,30,Comedy,"Peter Kay, Sian Gibson, Danny Swarsbrick, Guy Garvey",8.3,4254,2015–2020
Battle Creek,"Two detectives with different views on the world team up and using cynicism, guile and deception, they clean up the streets of Battle Creek.",45,"Comedy, Crime, Drama","Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr.",7.3,8268,2015
The Letdown,"Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother, and fancy-free best friend make it damn-near impossible.",24,Comedy,"Alison Bell, Duncan Fellows, Leon Ford, Sacha Horler",7.5,2837,2017– 
"Three Lives Three Worlds, Ten Miles of Peach Blossom",Two deities Ye Hua and Bai Qian meet and fall in love. Their love story transcends time and has become a legend.,120,"Drama, Fantasy, Romance","Mi Yang, Mark Chao, Weiguang Gao, Ken Chang",8.3,1867,2017
Kekkai Sensen,"In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order.",24,"Animation, Action, Adventure","Daisuke Sakaguchi, Kazuya Nakai, Aaron Dismuke, Phil Parsons",7.3,1735,2015–2017
Muhtesem Ikili,"Muhtesem Ikili is an adaption of the famous American movie, Tango and Cash. A story of two police officer Mert Barca and Mustafa Kerim Can / MKC. Barca and MKC, are forced to come together ...                ",60,"Action, Crime","Ibrahim Celikkol, Kerem Bürsin, Özge Gürel, Öykü Karayel",6.3,715,2018–2019
Nature Cat,An adventurous house cat goes on crazy trips and adventures with his friends to learn all about animals and nature.,60,"Animation, Action, Adventure","Taran Killam, Kate McKinnon, Kate Micucci, Bobby Moynihan",7.2,287,2015–2021
Small Fortune,"Follows a group of best friends living, working and playing in the gritty, diverse New York neighborhood of Washington Heights. Though fiercely proud of where they come from, the show ...                ",90,Game-Show,"""Dermot OLeary"", Brian Blessed, James Haskell, Chloe Madeley",3.1,29,2019– 
Washington Heights,Fatmagul Sucu Ne (What is Fatmagul's Fault?) is a story based on novel. The series revolves around Fatmagul (Beren) and Kerim (Engin) who are the lead characters. Fatmagul who is a small ...                ,440,Reality-TV,,6.6,73,2013– 
Fatmagül'ün Suçu Ne?,"The brutal murder of a French citizen sees French homicide investigator Kahina Zadi (Leïla Bekhti) go to Kiruna, Sweden. Together with Rutger Burlin (Peter Stormare) she begins an investigation that soon takes on staggering proportions.",45,"Drama, Romance","Beren Saat, Engin Akyürek, Firat Çelik, Murat Daltaban",5.7,6010,2010–2012
Midnight Sun,A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.,60,"Crime, Drama, Mystery","Leïla Bekhti, Gustaf Hammarsten, Albin Grenholm, Jakob Hultcrantz Hansson",7.5,4679,2016
Some Assembly Required,A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,30,"Comedy, Family","Kolton Stewart, Harrison Houde, Sydney Scotia, Charlie Storwick",3.7,755,2014– 
Case,DCI Jack Cloth and DC Anne Oldman are paired to investigate a series of grisly murders done by a devious killer.,11,"Crime, Drama, Mystery","Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir",7.1,2323,2015– 
